,id,imdb_rating,imdb_votes,number_in_season,number_in_series,original_air_date,original_air_year,production_code,season,title,us_viewers_in_millions,views,season_group
90,242,7.3,755.0,16,242,2000-02-27,2000,BABF12,11,Pygmoelian,9.4,52891.0,2.0
91,245,6.6,805.0,19,245,2000-04-30,2000,BABF16,11,Kill the Alligator and Run,7.46,52176.0,2.0
92,247,7.3,737.0,21,247,2000-05-14,2000,BABF18,11,"It's a Mad, Mad, Mad, Mad Marge",7.5,54146.0,2.0
93,249,7.6,829.0,1,249,2000-11-01,2000,BABF21,12,Treehouse of Horror XI,13.2,77719.0,2.0
94,251,7.1,733.0,3,251,2000-11-12,2000,BABF17,12,Insane Clown Poppy,16.4,40443.0,2.0
95,254,7.7,782.0,6,254,2000-12-03,2000,CABF02,12,The Computer Wore Menace Shoes,15.6,51100.0,2.0
96,258,7.3,760.0,10,258,2001-01-14,2001,CABF05,12,Pokey Mom,15.0,51024.0,2.0
97,261,7.2,668.0,13,261,2001-02-18,2001,CABF10,12,Day of the Jackanapes,15.4,49986.0,2.0
98,263,7.4,731.0,15,263,2001-03-04,2001,CABF09,12,"Hungry, Hungry Homer",17.6,49811.0,2.0
99,265,6.9,719.0,17,265,2001-04-01,2001,CABF13,12,Simpson Safari,13.3,49065.0,2.0
100,268,7.3,666.0,20,268,2001-05-13,2001,CABF16,12,Children of a Lesser Clod,13.8,50070.0,2.0
101,270,7.5,824.0,1,270,2001-11-06,2001,CABF19,13,Treehouse of Horror XII,13.0,77136.0,2.0
102,272,7.2,698.0,3,272,2001-11-18,2001,CABF20,13,Homer the Moe,14.4,44651.0,2.0
103,274,7.7,716.0,5,274,2001-12-09,2001,CABF21,13,The Blunder Years,12.9,45288.0,2.0
104,279,7.5,683.0,10,279,2002-02-10,2002,DABF04,13,Half-Decent Proposal,13.2,42977.0,2.0
105,281,6.5,656.0,12,281,2002-02-24,2002,DABF07,13,The Lastest Gun in the West,13.2,44787.0,2.0
106,284,7.0,670.0,15,284,2002-03-31,2002,DABF10,13,Blame It on Lisa,11.1,50694.0,2.0
107,286,5.6,721.0,17,286,2002-04-21,2002,DABF12,13,Gump Roast,12.3,46335.0,2.0
108,70,8.7,1445.0,11,70,1992-12-17,1992,9F09,4,Homer's Triple Bypass,23.6,57400.0,1.0
